,
இனிமையாக,
துக்,
மலையும்,
அவர்களிடம்இருந்தது,
ஒப்புவிக்கப்போகிறானா,
கொடுத்தும்,
வரைந்தாள்,
ஓடையிலிருந்து,
குளிரவே,
கிடந்தானாமே,
குறிப்பிடுகிறதா,
கொடுக்காமல்,
பேசியதுபோல்,
போரிடும்,
மறுபுறத்தில்,
எ,
ஐயனார்,
சரித்திரத்தைப்,
அநியாயம்,
கடூரமாக,
நின்றவர்களில்,
மண்டபத்துக்குள்ளிருந்து,
சொரிந்தான்,
அரசமரத்தடிக்கு,
சோகமே,
ஓடிஓடிச்,
செய்தீர்கள்,
முதல்மந்திரியைப்,
மழை,
காரணத்தைத்தான்,
யொட்டி,
நீட்டித்,
பேரனும்,
போடும்,
படகிலும்,
மொட்டுக்களையும்,
ஈரமாயிருந்தது,
எங்கிருந்துஅப்பெண்களின்,
தான்தேடிச்,
பேரும்சித்தமாயிருக்கிறார்கள்,
சிலாசாஸனமும்,
குறிப்பிடுவதுண்டு,
கலங்காத,
அறுசுவை,
சொல்லுவதில்லை,
அனுப்பினோம்,
சேதியும்,
கூட்டாளி,
நூறாயிரம்,
பூங்காவிற்குச்,
தன்னைவிடும்படி,
பெருகியிருந்திருக்கிறார்கள்,
வீசித்திகழ்ந்தன,
ஆச்சரியப்பட்டுப்,
நடக்கிறதாம்;,
உள்ளத்திலிருந்தும்,
கொண்டிருந்ததைப்,
பேசுவோம்,
உண்மையாகிவிட்டதே,
ஆகிவிட்டபடியால்,
கேளிக்கையும்பார்த்துவிட்டு,
தேடிச்சென்று,
ரோமாஞ்சனம்,
சித்தசுவாதீனம்,
கொண்டீர்களாக்கும்,
கடமையைத்தான்,
சோழக்,
என்பதிலேதான்,
முதன்முறை,
உற்பாத,
சூசகம்,
உறுதிப்படுத்திக்,
ப்பி,
கூறியிருக்கிறாரே,
ஒற்றிக்,
பருகிக்,
ஆலயங்கள்,
படுத்துவார்கள்,
கடை,
அதிகமாகவல்லவோ,
தோழியும்,
அலைகடலைப்,
நிமித்தக்காரர்கள்,
வேலைக்காரர்கள்,
மிக்கவர்,
ஏழாயிரம்,
நலிவுற்றிருந்தது,
மதில்சுவராயிருந்தது,
சுபாவத்தோடு,
சமுத்திரத்தின்,
மண்டபத்துக்குள்ளும்,
மறைந்திருப்பாள்,
அறையிலும்,
மாறுதலை,
ஓடிவிடுவாளோ,
சம்மதிக்கவே,
வலையைச்,
காதலை,
சுமத்துவதை,
திணித்துவைத்திருந்த,
இப்பொழுதாவது,
பரிவாரத்துடன்,
கிளைக்குப்,
பொறாமைப்படுகிறேன்,
கட்டுக்காவல்,
வத்ஸலராகிய,
வினவினாள்,
கலங்கரைவிளக்கத்தை,
லோகத்திலிருந்து,
மகளாகவே,
எதிர்பார்த்தேன்,
படகுகவிழ்ந்துவிடும்,
ஏறிற்று,
போல்நின்றாள்,
பிராட்டியிடம்,
காஞ்சிக்கும்,
சென்றுசூரியன்,
அனுப்பியிருக்கிறாராமே,
இடையூறுகளும்,
நுழைவார்கள்,
குலைத்தது,
காட்டும்படி,
நாலைந்தடி,
யுத்தமும்,
ரேகையில்,
கொண்டுகளைப்பாறினான்,
உணர்வுவருவித்தாள்,
ஏறிப்,
கத்தியைச்,
சத்தியபாமாவும்,
பிரக்ஞையற்றவன்போலப்,
பேசுவதைச்,
வசீகரப்படுத்தி,
புலம்பி,
இடிஇடித்தாலும்,
இயலாத,
நலத்துக்காக,
நரகத்துக்கு,
அபயங்கிரி,
கொல்லவில்லை;,
அழுவாள்,
செய்துவைத்துக்,
தகதகவென்று,
மோகினியின்,
சொல்லிவிட்டார்களாம்,
துணியவில்லை,
மார்கழியில்,
கிளியாகப்,
சண்டிகேசுவரி,
உடல்நலத்துக்காகப்,
வாள்களோடுவாள்களும்,
ஓடிவருவதைத்,
சேராதபடியும்,
ஊடுருவிய,
சுடரும்,
அவருக்குஇணையான,
வாய்த்தது,
அச்சமின்றித்,
கதிகலங்கிக்,
பைத்தியக்காரனாகவும்,
இராஜகுல,
இதற்குள்ளாக,
மேலன,
இல்லாதவர்களுக்கு,
பலிக்க,
நேருமோ,
ஒவ்வொன்றாகச்,
